npmPackageName,versionNumber
@rolldown/binding-linux-x64-musl,1.0.0-beta.58
@rolldown/binding-openharmony-arm64,1.0.0-beta.58
@rolldown/binding-wasm32-wasi,1.0.0-beta.58
@rolldown/binding-win32-arm64-msvc,1.0.0-beta.58
@rolldown/binding-win32-x64-msvc,1.0.0-beta.58
@rolldown/pluginutils,1.0.0-beta.53
@rollup/plugin-babel,6.1.0
@rollup/plugin-commonjs,25.0.8
@rollup/plugin-image,3.0.3
@rollup/plugin-json,6.1.0
@rollup/plugin-node-resolve,15.3.1
@rollup/plugin-typescript,12.3.0
@rollup/pluginutils,4.2.1
@rollup/rollup-android-arm-eabi,4.55.1
@rollup/rollup-android-arm64,4.55.1
@rollup/rollup-darwin-arm64,4.55.1
@rollup/rollup-darwin-x64,4.55.1
@rollup/rollup-freebsd-arm64,4.55.1
@rollup/rollup-freebsd-x64,4.55.1
@rollup/rollup-linux-arm-gnueabihf,4.55.1
@rollup/rollup-linux-arm-musleabihf,4.55.1
@rollup/rollup-linux-arm64-gnu,4.55.1
@rollup/rollup-linux-arm64-musl,4.55.1
@rollup/rollup-linux-loong64-gnu,4.55.1
@rollup/rollup-linux-loong64-musl,4.55.1
@rollup/rollup-linux-ppc64-gnu,4.55.1
